sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,salam,0,4046,3409,3721,3479,3581,4296,367,-442,210,-27,-32
1,salam,1,4095,3417,3733,3498,3611,3903,711,-229,-1360,148,-286
1,salam,2,4095,3414,3749,3502,3605,4200,38,-1073,2438,-488,173
1,salam,3,4095,3411,3725,3487,3609,4059,800,-560,1720,-611,-317
1,salam,4,4095,3413,3734,3499,3614,4583,1136,-1724,1967,-882,-1160
1,salam,5,4083,3400,3739,3491,3631,5186,1653,-3453,1678,-1886,-1991
1,salam,6,4060,3383,3740,3501,3643,5179,2693,-4394,1912,-3174,-2963
1,salam,7,4071,3383,3751,3547,3647,3496,1666,-3405,1876,-3563,-3651
1,salam,8,4088,3381,3743,3510,3644,1293,737,-2323,2572,-3035,-2885
1,salam,9,4056,3355,3751,3495,3655,58,-75,-1715,2436,-2306,-2122
1,salam,10,4095,3333,3739,3477,3641,-691,-1695,-954,2183,-1737,-1723
1,salam,11,4053,3321,3741,3471,3655,-915,-3094,-341,993,-987,-690
1,salam,12,4007,3323,3753,3475,3671,-1463,-3314,-602,694,-374,215
1,salam,13,3996,3327,3749,3481,3645,-2099,-3227,-1216,150,-366,226
1,salam,14,3995,3315,3771,3469,3636,-2359,-3251,-1244,12,-267,12
1,salam,15,3985,3307,3787,3471,3631,-2217,-3151,-990,-2,-42,109
1,salam,16,3986,3307,3725,3470,3637,-2287,-3093,-1227,5,4,124
1,salam,17,4004,3311,3709,3474,3655,-2360,-3014,-1288,18,75,84
1,salam,18,3995,3311,3727,3467,3636,-2378,-3014,-1275,6,53,72
1,salam,19,3991,3316,3736,3469,3631,-2362,-2960,-1169,16,24,39
2,salam,0,4000,3378,3710,3473,3609,4369,307,230,-493,-47,-27
2,salam,1,4071,3374,3725,3481,3605,4254,364,77,-625,619,-413
2,salam,2,4045,3399,3785,3492,3624,4595,699,-690,2729,-1148,319
2,salam,3,4055,3369,3730,3486,3645,5034,2085,-844,1186,-1181,-1472
2,salam,4,4024,3349,3733,3491,3645,5017,2684,-1754,2238,-1807,-2277
2,salam,5,4047,3355,3711,3493,3665,5407,4595,-2893,1384,-2330,-4120
2,salam,6,4026,3349,3737,3493,3667,3972,3519,-2403,1536,-2637,-5297
2,salam,7,4015,3340,3756,3484,3659,1815,1648,-1718,2470,-2162,-4527
2,salam,8,4024,3337,3749,3479,3662,-233,-287,-1442,2654,-1839,-3185
2,salam,9,4021,3320,3793,3477,3663,-927,-1660,-758,2734,-1049,-2041
2,salam,10,3976,3327,3756,3481,3655,-1616,-3113,-652,860,-418,-628
2,salam,11,3964,3311,3751,3475,3656,-2235,-2733,-1081,138,-64,-62
2,salam,12,4012,3306,4095,3471,3659,-2226,-2998,-1229,-156,124,188
2,salam,13,3993,3293,4095,3473,3647,-2339,-2757,-1582,14,-45,68
2,salam,14,3951,3307,4095,3471,3647,-2429,-3039,-1102,-69,32,41
2,salam,15,3983,3316,4095,3469,3652,-2473,-2587,-1462,-221,106,114
2,salam,16,3957,3315,4095,3453,3635,-2419,-2629,-1322,-225,13,8
2,salam,17,3957,3298,4095,3468,3639,-2456,-2745,-1316,-215,13,20
2,salam,18,3951,3307,4095,3464,3643,-2468,-2735,-1304,-165,-6,-26
2,salam,19,3946,3314,3803,3447,3636,-2413,-2707,-1314,-77,47,9
3,salam,0,4000,3355,3725,3475,3615,4329,509,-118,-54,-189,4
3,salam,1,4095,3373,3754,3481,3627,4203,1015,-335,-47,494,-350
3,salam,2,4046,3391,3781,3480,3624,4343,325,-1340,2634,-452,355
3,salam,3,4095,3369,3747,3493,3654,4771,3180,-1427,1011,-1256,-1330
3,salam,4,4077,3355,3743,3492,3677,5519,4873,-2626,2026,-1568,-3380
3,salam,5,4027,3333,3732,3483,3699,5430,5340,-2869,1917,-2503,-4892
3,salam,6,4031,3311,3751,3479,3699,3327,3150,-1989,2651,-2492,-4985
3,salam,7,4095,3305,3752,3478,3668,1620,1240,-1417,2440,-2324,-3939
3,salam,8,4041,3304,3755,3469,3668,-159,-1461,-493,3190,-1793,-2700
3,salam,9,3989,3315,3801,3463,3667,-1478,-2953,-236,1380,-925,-1074
3,salam,10,3977,3303,3799,3462,3672,-2114,-2442,-1072,223,-145,-125
3,salam,11,3997,3309,3767,3467,3661,-2222,-2813,-1174,-294,120,90
3,salam,12,3995,3309,3763,3461,3661,-2315,-2623,-1674,-348,95,130
3,salam,13,3993,3301,3741,3468,3656,-2283,-2557,-1536,-150,31,42
3,salam,14,4003,3300,3752,3452,3656,-2463,-2569,-1634,-278,-62,17
3,salam,15,3963,3316,3763,3453,3652,-2494,-2566,-1589,-316,-75,37
3,salam,16,3961,3293,3755,3461,3655,-2470,-2558,-1618,-205,6,37
3,salam,17,3955,3297,3819,3451,3659,-2485,-2627,-1512,-131,-28,32
3,salam,18,3928,3293,3751,3447,3661,-2487,-2651,-1582,-58,67,-1
3,salam,19,3941,3299,3819,3453,3669,-2504,-2673,-1561,-32,4,-17
4,salam,0,3993,3353,3731,3453,3624,4250,433,468,390,-152,70
4,salam,1,4023,3343,3708,3463,3629,4008,360,-500,229,160,-78
4,salam,2,4008,3374,3736,3452,3621,3904,427,195,-738,-223,159
4,salam,3,4009,3349,3705,3468,3637,4457,1884,-1575,1479,-219,-375
4,salam,4,4025,3340,3695,3477,3656,5435,4956,-1883,1673,-1378,-2247
4,salam,5,4005,3319,3723,3479,3656,6078,4385,-1318,1971,-2055,-3986
4,salam,6,4007,3325,3711,3468,3662,5713,5045,-1749,1716,-2335,-5218
4,salam,7,3993,3301,3723,3469,3665,3718,2897,-1708,2200,-2299,-5402
4,salam,8,3981,3301,3733,3468,3643,674,496,-1130,2589,-1797,-4016
4,salam,9,4004,3291,3757,3455,3642,-538,-2207,-785,3150,-1244,-2750
4,salam,10,3967,3291,3755,3463,3643,-1405,-3200,-16,1678,-557,-1027
4,salam,11,3951,3289,3707,3469,3640,-1819,-3076,-500,606,78,58
4,salam,12,3951,3276,3695,3463,3647,-2059,-2887,-1393,-506,88,218
4,salam,13,3951,3271,3673,3453,3665,-2220,-2992,-1588,-89,34,75
4,salam,14,3957,3271,3677,3461,3656,-2226,-2911,-1437,-45,-54,71
4,salam,15,3946,3269,3695,3451,3659,-2201,-2833,-1430,-135,43,31
4,salam,16,3940,3273,3669,3444,3640,-2373,-2836,-1503,-109,-60,104
4,salam,17,3933,3271,3706,3435,3636,-2430,-2832,-1408,-29,-39,14
4,salam,18,3941,3271,3724,3449,3636,-2404,-2966,-1564,-41,13,54
4,salam,19,3941,3275,3718,3439,3629,-2448,-2763,-1476,-13,-29,24
5,salam,0,3944,3303,3678,3448,3609,4283,676,203,-767,-277,-9
5,salam,1,3993,3316,3695,3447,3630,4162,429,-915,448,829,-291
5,salam,2,3977,3321,3685,3449,3623,4134,996,-367,293,-96,-25
5,salam,3,3959,3320,3717,3448,3631,4003,872,121,472,-448,-354
5,salam,4,3964,3307,3699,3443,3631,4129,1143,-351,291,-274,-504
5,salam,5,3963,3301,3685,3444,3629,4338,2912,-966,452,-448,-1143
5,salam,6,3982,3305,3677,3451,3651,5064,4262,-1796,1087,-807,-2910
5,salam,7,3976,3307,3705,3461,3675,5254,5219,-2512,2145,-1566,-4381
5,salam,8,3982,3298,3695,3451,3667,4085,4354,-2272,2689,-1966,-4840
5,salam,9,4009,3302,3719,3449,3661,1757,1498,-1395,2998,-2205,-4511
5,salam,10,4019,3303,3774,3450,3659,18,-784,-652,2596,-2064,-3069
5,salam,11,4019,3307,3759,3465,3643,-1194,-3005,154,2032,-1220,-1547
5,salam,12,3948,3307,3727,3462,3656,-1936,-2914,-656,579,-153,-211
5,salam,13,3938,3299,3718,3453,3644,-2215,-2367,-1987,96,-32,46
5,salam,14,3940,3293,4095,3447,3639,-2431,-2529,-1835,206,-85,-121
