sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,salam,0,4076,3363,3682,3487,3696,4006,-884,-188,-154,213,-6
1,salam,1,4039,3363,3669,3475,3695,3994,-1163,-539,-195,190,-37
1,salam,2,4003,3357,3672,3481,3691,3509,-672,72,-82,-51,-23
1,salam,3,4042,3345,3645,3481,3684,3893,-1084,41,-1020,424,28
1,salam,4,4025,3343,3661,3483,3671,4326,-1232,-868,-211,-402,347
1,salam,5,4071,3336,3676,3475,3696,4266,-1225,-2036,-104,-989,785
1,salam,6,4095,3325,3658,3465,3692,4986,-556,-2972,-613,-1535,88
1,salam,7,4092,3325,3665,3453,3676,5838,16,-3537,-568,-3060,-1297
1,salam,8,3999,3323,3625,3455,3685,4533,474,-3353,-1170,-4233,-2552
1,salam,9,3995,3301,3643,3451,3667,2266,817,-2742,-1097,-4108,-3075
1,salam,10,3987,3304,3641,3453,3656,345,829,-2220,-1051,-3025,-3008
1,salam,11,3973,3304,3667,3455,3683,-1200,206,-1718,-490,-2121,-2611
1,salam,12,3975,3303,3637,3449,3689,-2199,-499,-1577,-48,-1611,-2364
1,salam,13,3988,3298,3673,3453,3653,-2769,-618,-1753,-615,-1331,-1284
1,salam,14,3982,3297,3660,3461,3771,-2910,-982,-692,-786,-876,-1335
1,salam,15,3977,3304,3657,3491,4095,-3383,-2067,-720,-572,-152,-694
1,salam,16,3999,3289,3643,3444,3690,-3461,-1086,-1236,-342,167,-40
1,salam,17,3983,3292,3623,3425,3660,-3599,-1027,-1452,-196,81,30
1,salam,18,3995,3292,3612,3427,3647,-3485,-1478,-1379,-176,0,25
1,salam,19,3986,3288,3630,3421,3610,-3516,-1238,-1319,183,7,-14
2,salam,0,4095,3326,3651,3513,3660,4234,-515,58,-230,-210,51
2,salam,1,4079,3349,3642,3513,3667,4056,-528,-251,-133,63,-47
2,salam,2,4079,3338,3676,3509,3659,4327,-825,-361,1289,-435,41
2,salam,3,4053,3333,3635,3507,3658,5447,-364,-3070,-1577,116,-240
2,salam,4,4009,3337,3641,3498,3651,5953,1012,-2576,-495,-2755,-1143
2,salam,5,4023,3337,3655,3495,3643,5811,1292,-2381,619,-3542,-1635
2,salam,6,4043,3326,3631,3495,3637,3961,882,-2338,-46,-3567,-1722
2,salam,7,3993,3319,3629,3483,3627,2118,1034,-2222,-306,-2992,-1841
2,salam,8,4043,3309,3657,3479,3612,432,1173,-2579,-325,-2371,-2027
2,salam,9,4031,3317,3635,3479,3615,-1023,1141,-2574,-616,-2018,-2340
2,salam,10,4019,3311,3645,3477,3647,-2066,363,-1967,-678,-1776,-2751
2,salam,11,4041,3294,3637,3445,3626,-2341,-328,-1931,-723,-1354,-2113
2,salam,12,4058,3295,3624,3449,4095,-2735,-1237,-1430,-554,-972,-1749
2,salam,13,4077,3289,3624,3447,4095,-3061,-1744,-1294,-520,-292,-668
2,salam,14,4031,3291,3611,3428,3655,-3196,-1072,-1707,-622,-55,-20
2,salam,15,4059,3294,3574,3417,3647,-3503,-719,-1696,-330,-150,-36
2,salam,16,4012,3292,3622,3407,3657,-3522,-949,-1624,-76,-143,13
