sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,salam,0,3959,3149,3563,3415,3629,4325,-293,455,-415,-104,31
1,salam,1,3959,3146,3579,3416,3619,3778,-561,326,-487,21,44
1,salam,2,3965,3153,3595,3425,3656,4427,-924,-99,1907,-536,-165
1,salam,3,3975,3143,3547,3447,3647,5840,88,-1925,195,-2220,-485
1,salam,4,3957,3143,3551,3416,3663,6480,1114,-1980,563,-2659,-1544
1,salam,5,3965,3144,3544,3415,3647,6275,2100,-2564,-1,-3198,-2678
1,salam,6,3960,3144,3539,3413,3629,4262,1888,-2413,-56,-3379,-3376
1,salam,7,3957,3143,3534,3413,3673,1714,1597,-1872,-487,-2877,-3704
1,salam,8,3932,3129,3533,3405,3660,163,1087,-1559,130,-2009,-3715
1,salam,9,3915,3123,3518,3404,3655,-1107,151,-1518,-120,-842,-3260
1,salam,10,3903,3117,3525,3412,3639,-2059,-686,-2048,-611,-387,-2588
1,salam,11,3896,3112,3527,3401,3644,-2810,-1666,-2166,-534,-351,-1421
1,salam,12,3897,3109,3513,3399,3662,-2633,-1295,-2212,-304,-42,-676
1,salam,13,3899,3103,3507,3401,3657,-2661,-710,-2103,-224,125,-70
1,salam,14,3894,3106,3503,3387,3663,-2960,-930,-2447,58,73,18
1,salam,15,3892,3103,3513,3385,3675,-2794,-946,-2576,16,53,-49
1,salam,16,3893,3104,3502,3388,3641,-2950,-808,-2385,57,-85,-20
1,salam,17,3888,3107,3503,3369,3647,-2975,-975,-2227,7,-43,-26
1,salam,18,3888,3103,3507,3371,3636,-2977,-987,-2241,-42,58,-11
1,salam,19,3895,3103,3502,3363,3661,-3029,-999,-2275,-96,49,2
2,salam,0,3963,3163,3606,3419,3622,4362,-741,438,42,-202,-8
2,salam,1,3959,3171,3597,3417,3641,3961,-689,181,23,86,-104
2,salam,2,3952,3173,3551,3417,3711,4192,-892,20,1796,206,-319
2,salam,3,3935,3143,3541,3419,3645,5164,-127,-2202,561,-1286,-40
2,salam,4,3928,3127,3526,3417,3653,6139,1142,-2022,-428,-2395,-1202
2,salam,5,3918,3114,3567,3411,3638,6454,2006,-2281,-23,-2631,-2455
2,salam,6,3923,3109,3528,3400,3641,5204,1992,-2166,-79,-3455,-3367
2,salam,7,3903,3110,3516,3385,3655,2649,1647,-1704,-245,-3074,-3487
2,salam,8,3917,3109,3529,3375,3627,636,1558,-1426,-149,-2182,-3160
2,salam,9,3913,3102,3513,3369,3640,-1086,852,-1635,-415,-1278,-2891
2,salam,10,3914,3101,4095,3364,3631,-1768,738,-1881,-633,-731,-3079
2,salam,11,3915,3101,3516,3363,3627,-2349,-861,-1644,-509,-474,-2514
2,salam,12,3918,3103,3509,3351,3623,-3019,-1773,-1775,-730,-85,-1303
2,salam,13,3901,3096,3557,3360,3613,-3066,-2007,-2116,-655,-53,78
2,salam,14,3901,3096,3501,3339,3629,-3135,-545,-1852,-188,176,-49
2,salam,15,3899,3095,3503,3320,3613,-3297,-765,-2231,-109,111,30
2,salam,16,3898,3096,3500,3315,3610,-3176,-858,-2185,53,53,53
2,salam,17,3897,3096,3501,3307,3619,-3163,-690,-2209,97,148,-10
2,salam,18,3897,3095,3497,3304,3601,-3129,-662,-2241,8,80,-29
2,salam,19,3894,3092,3487,3303,3601,-3126,-740,-2194,39,91,-87
3,salam,0,3939,3133,3594,3309,3635,4178,-903,334,-160,-630,-53
3,salam,1,3932,3127,3601,3310,3623,4039,-517,97,-22,-87,-21
3,salam,2,3931,3128,3535,3322,3635,4348,136,-1673,2150,-162,-443
3,salam,3,3924,3118,3547,3327,3608,6958,141,-2941,130,-2458,-992
3,salam,4,3917,3113,3560,3323,3627,7567,2148,-2058,-353,-3156,-2534
3,salam,5,3917,3120,3509,3320,3615,5455,1918,-1635,93,-4262,-3409
3,salam,6,3897,3093,3919,3305,3625,2341,1427,-1275,-156,-3438,-3166
3,salam,7,3887,3101,3516,3298,3621,262,968,-1334,-221,-2324,-3121
3,salam,8,3879,3107,3503,3291,3631,-1148,278,-1799,-69,-1426,-2863
3,salam,9,3874,3093,3540,3287,3641,-2117,-788,-1674,36,-968,-2493
3,salam,10,3869,3096,3511,3289,3648,-2531,-790,-1977,-254,-444,-1704
3,salam,11,3866,3093,3519,3285,3685,-2986,-1796,-1758,-85,-321,-1082
3,salam,12,3875,3087,3507,3286,3639,-3075,-1200,-1855,-536,172,-182
3,salam,13,3845,3087,3543,3257,3624,-3126,-701,-2273,-57,127,-83
3,salam,14,3865,3087,3499,3255,3614,-2958,-1073,-2208,0,63,42
3,salam,15,3865,3081,3513,3252,3619,-2967,-908,-2252,-34,51,46
3,salam,16,3879,3087,3511,3256,3630,-3111,-1019,-2262,2,-91,62
3,salam,17,3871,3087,3512,3261,3637,-3075,-952,-2214,47,13,28
3,salam,18,3847,3081,3511,3259,3622,-3018,-1025,-2134,8,2,38
3,salam,19,3859,3079,3509,3260,3620,-3058,-866,-2146,-32,21,35
4,salam,0,4023,3287,3609,3480,3591,4118,-591,110,-565,-147,121
4,salam,1,4021,3285,3579,3465,3593,3939,-851,-654,109,43,-79
4,salam,2,4009,3274,3591,3469,3612,4678,-1217,-1779,1568,236,-216
4,salam,3,4060,3243,3615,3473,3606,5814,-302,-1740,-543,-2030,-761
4,salam,4,3987,3228,3533,3452,3595,5865,803,-2467,294,-2418,-1927
4,salam,5,3991,3198,3559,3444,3609,4935,1637,-3284,-119,-3258,-2680
4,salam,6,3965,3172,4095,3431,3629,3181,2077,-2714,-309,-3538,-3068
4,salam,7,3941,3158,3531,3416,3643,1315,1693,-2139,-105,-3251,-3323
4,salam,8,3923,3147,3527,3401,3655,-466,913,-1514,226,-2500,-2749
4,salam,9,3924,3147,3539,3403,3671,-1717,-90,-1332,239,-1454,-2589
4,salam,10,3928,3143,3515,3391,3641,-2499,-999,-1183,240,-793,-1928
4,salam,11,3926,3143,3529,3382,3626,-2781,-1678,-1707,33,-274,-1148
4,salam,12,3925,3139,3495,3378,3643,-2864,-1604,-1805,-56,-137,-543
4,salam,13,3917,3132,3484,3386,3635,-2996,-1715,-1588,-236,-2,-73
4,salam,14,3919,3133,3492,3369,3623,-3000,-1415,-1869,-61,172,13
4,salam,15,3924,3134,3501,3363,3619,-3022,-1526,-2110,-69,125,39
4,salam,16,3922,3135,3491,3356,3625,-2933,-1440,-2020,19,-7,10
4,salam,17,3919,3131,3487,3359,3634,-3043,-1439,-1863,-14,3,69
4,salam,18,3915,3129,3486,3352,3615,-3046,-1381,-1929,-68,47,38
4,salam,19,3916,3131,3491,3348,3613,-3116,-1152,-1973,-165,79,93
5,salam,0,3989,3227,3595,3449,3640,4176,-580,-21,-271,-153,3
