sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,salam,0,4051,3479,3812,3608,3553,4112,688,-339,-149,-100,14
1,salam,1,4055,3488,3829,3599,3561,4015,816,-1177,231,332,15
1,salam,2,4060,3467,3817,3603,3577,4002,-121,-1420,186,-880,-215
1,salam,3,4055,3444,3813,3607,3563,4634,507,-2245,-779,-1173,97
1,salam,4,4073,3409,3765,3621,3559,5126,1915,-3039,-316,-2232,-302
1,salam,5,4072,3347,3789,3576,3628,4513,2272,-3211,437,-3031,-1349
1,salam,6,4053,3285,3721,3535,3679,3446,2373,-3366,518,-3081,-2076
1,salam,7,4019,3261,3719,3516,3671,2036,1820,-3246,564,-3344,-2644
1,salam,8,4039,3269,3655,3520,3669,394,830,-2115,685,-3209,-3026
1,salam,9,4031,3252,3689,3496,3705,-921,-367,-1426,568,-2439,-2720
1,salam,10,4031,3237,3709,3479,3701,-1718,-1670,-878,1049,-2167,-2574
1,salam,11,3998,3199,3703,3443,3691,-2189,-2843,-898,348,-1634,-1633
1,salam,12,3991,3207,3674,3422,3701,-2168,-3162,-739,-71,-976,-1149
1,salam,13,3996,3189,3672,3429,3686,-2149,-3588,-288,0,-738,-713
1,salam,14,4013,3179,3595,3417,3693,-2062,-3541,-285,-125,-216,-333
1,salam,15,3993,3181,3627,3398,3694,-2173,-3334,-749,-37,-27,-6
1,salam,16,4028,3183,3642,3398,3693,-2227,-3309,-494,59,-27,-5
1,salam,17,3981,3177,3597,3404,3686,-2223,-3240,-358,-29,8,51
1,salam,18,3989,3182,3608,3403,3685,-2261,-3286,-512,109,34,65
1,salam,19,3995,3182,3575,3403,3681,-2256,-3344,-498,135,47,33
2,salam,0,4067,3468,3814,3577,3612,4138,701,-465,-257,-93,22
2,salam,1,4051,3475,3800,3592,3636,3915,815,-703,-133,35,-8
2,salam,2,4056,3464,3816,3592,3625,4001,636,-627,531,-124,25
2,salam,3,4055,3447,3827,3592,3609,4116,67,-1219,157,-203,-193
2,salam,4,4052,3427,3835,3579,3615,4265,469,-1743,-921,-729,114
2,salam,5,4053,3371,3785,3577,3611,4656,1565,-2407,-312,-1384,-15
2,salam,6,4049,3293,3707,3556,3653,4795,2442,-3006,100,-2442,-970
2,salam,7,4021,3241,3693,3500,3685,4027,2805,-3529,736,-3362,-2051
2,salam,8,4015,3221,3653,3471,3684,2221,1894,-3301,1301,-3639,-2535
2,salam,9,4009,3219,3703,3468,3661,578,998,-2824,769,-3460,-2794
2,salam,10,4006,3221,3653,3443,3657,-933,-372,-1660,481,-2874,-2731
2,salam,11,4007,3227,3691,3445,3667,-1605,-1252,-1185,601,-2137,-2300
2,salam,12,4008,3231,3677,3419,3652,-2112,-2398,-762,467,-1578,-1699
2,salam,13,4007,3228,3643,3411,3657,-2198,-2882,-621,203,-823,-1222
2,salam,14,4006,3228,3655,3407,3654,-2310,-3152,-532,-12,-553,-759
2,salam,15,4027,3223,3631,3379,3647,-2345,-3270,-299,83,-210,-248
2,salam,16,4007,3222,3604,3389,3641,-2420,-3153,-242,154,-162,-69
2,salam,17,4024,3241,3607,3387,3644,-2521,-3120,-281,-69,-41,-8
2,salam,18,4006,3240,3593,3387,3652,-2532,-3115,-392,-28,-53,41
2,salam,19,3995,3229,3599,3397,3639,-2619,-3101,-179,-57,-102,39
3,salam,0,4032,3443,3768,3555,3620,4102,467,-140,-72,7,-1
3,salam,1,4051,3451,3782,3556,3611,4107,715,-360,-117,21,65
3,salam,2,4057,3445,3795,3559,3611,4234,40,-818,72,-342,-7
3,salam,3,4053,3431,3772,3565,3597,4776,679,-2346,-555,-1032,80
3,salam,4,4060,3383,3771,3559,3603,4949,1874,-2743,-51,-2336,-806
3,salam,5,4038,3347,3736,3549,3615,4509,2145,-3185,447,-2940,-1347
3,salam,6,4029,3319,3701,3531,3644,3807,2303,-3532,907,-3346,-2046
3,salam,7,4029,3297,3700,3512,3637,2148,1833,-3406,912,-3647,-2416
3,salam,8,4026,3272,3693,3507,3615,168,763,-2478,764,-3263,-2559
3,salam,9,4021,3271,3720,3469,3631,-1234,-436,-1489,545,-2677,-2279
3,salam,10,4016,3261,3678,3469,3622,-2054,-1139,-1377,528,-2199,-1886
3,salam,11,4023,3243,3677,3464,3645,-2331,-1960,-692,595,-1947,-1691
3,salam,12,4015,3235,3661,3422,3637,-2275,-2668,-204,317,-1408,-1529
3,salam,13,4020,3224,3623,3379,3637,-1977,-3448,-145,294,-721,-1230
3,salam,14,4007,3215,3591,3358,3647,-1946,-3432,396,-5,-205,-590
3,salam,15,3986,3209,3557,3348,3643,-2049,-3579,148,-132,-10,-205
3,salam,16,3985,3209,3563,3337,3643,-2103,-3546,48,81,46,-60
3,salam,17,3976,3187,3561,3339,3644,-2210,-3293,82,41,-135,17
3,salam,18,3975,3208,3549,3327,3647,-2056,-3359,174,-100,47,-8
3,salam,19,3979,3192,3541,3326,3635,-2221,-3428,52,-89,-5,5
4,salam,0,4027,3413,3749,3535,3589,4195,201,-152,-163,-4,-3
4,salam,1,4043,3435,3763,3554,3608,4208,653,-380,271,-13,-46
4,salam,2,4039,3427,3759,3565,3572,4007,286,179,23,-45,-3
4,salam,3,4015,3421,3771,3541,3567,4133,166,-205,-181,52,78
4,salam,4,4028,3404,3768,3559,3567,4448,362,-1009,-755,-342,-74
4,salam,5,4021,3411,3757,3547,3573,4635,740,-1728,90,-1387,87
4,salam,6,4019,3401,3763,3545,3577,5072,1113,-2469,305,-2258,-147
4,salam,7,4040,3397,3757,3545,3575,4598,1070,-3189,760,-3320,-613
4,salam,8,4031,3372,3759,3548,3576,3264,871,-3504,783,-3525,-1004
4,salam,9,4010,3352,3737,3516,3576,1962,875,-3728,165,-3338,-1166
4,salam,10,4007,3333,3724,3517,3588,216,404,-3253,53,-3056,-1554
4,salam,11,4003,3320,3717,3499,3588,-913,26,-2442,-269,-2503,-1715
4,salam,12,4007,3309,3692,3487,3591,-1608,-547,-2167,80,-2107,-1783
4,salam,13,4007,3291,3700,3476,3591,-2386,-1206,-1611,-13,-1618,-1688
4,salam,14,3995,3275,3700,3475,3589,-2603,-1952,-1142,156,-1464,-1670
4,salam,15,3994,3241,3675,3466,3594,-2721,-2478,-716,-241,-1305,-1357
4,salam,16,3996,3211,3683,3437,3607,-2606,-2876,-339,25,-879,-866
4,salam,17,3985,3213,3667,3435,3615,-2583,-3045,-354,-28,-661,-617
4,salam,18,3993,3194,3615,3419,3619,-2512,-3245,-410,-86,-383,-231
4,salam,19,3975,3193,3608,3386,3623,-2423,-3159,-552,-31,-153,-142
5,salam,0,4031,3413,3749,3519,3575,4262,323,-353,-192,18,21
5,salam,1,4036,3412,3749,3529,3639,4107,370,-525,-211,122,-28
5,salam,2,4057,3413,3736,3528,3591,4110,376,-79,450,-144,20
