sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,salam,0,4053,3487,3747,3564,3574,4174,353,-904,510,195,125
1,salam,1,4060,3511,3758,3567,3598,4043,-3,-1064,-610,11,-191
1,salam,2,4061,3491,3751,3561,3590,3944,-747,-2048,-1161,-530,-318
1,salam,3,4058,3497,3751,3559,3593,3744,-179,-551,-203,-379,-305
1,salam,4,4067,3494,3748,3574,3589,4838,2038,-3397,-989,725,-585
1,salam,5,4075,3491,3743,3575,3595,6285,4345,-2396,-1404,-2274,-2912
1,salam,6,4063,3483,3741,3571,3579,3554,3119,-1949,-1245,-2031,-4090
1,salam,7,4063,3463,3731,3561,3577,1271,2725,-1393,515,-1887,-3726
1,salam,8,4059,3451,3720,3565,3593,-283,3035,-654,297,-1394,-3381
1,salam,9,4055,3439,3720,3539,3621,-986,2544,-1137,320,-463,-3196
1,salam,10,4042,3419,3709,3545,3622,-1646,1910,-1971,-929,-250,-3038
1,salam,11,4040,3411,3704,3539,3597,-2046,-1334,-957,1689,-506,-2407
1,salam,12,4031,3415,3701,3534,3601,-3038,-1552,-740,21,345,-149
1,salam,13,4023,3400,3695,3531,3595,-3433,173,-2470,-637,-14,-27
1,salam,14,4027,3388,3711,3510,3599,-3640,-420,-1713,108,-18,-124
1,salam,15,4021,3386,3700,3515,3595,-3434,-404,-1981,226,-22,-106
1,salam,16,4020,3384,3690,3514,3593,-3303,-444,-1436,28,120,55
1,salam,17,4023,3373,3695,3513,3596,-3102,-778,-1674,137,31,160
1,salam,18,4045,3433,3735,3563,3609,-2107,-1335,255,319,146,1279
1,salam,19,4079,3484,3735,3601,3623,-1256,-177,-131,993,2594,2973
2,salam,0,4067,3497,3754,3560,3607,3688,201,-1771,-92,301,27
2,salam,1,4075,3517,3741,3556,3619,3589,-203,-1703,687,-167,69
2,salam,2,4061,3510,3747,3558,3611,3552,416,-2244,-1431,-10,-127
2,salam,3,4067,3501,3737,3560,3605,3482,357,-1470,-1181,229,-67
2,salam,4,4060,3487,3735,3555,3597,3986,1410,-3083,-1854,42,-912
2,salam,5,4067,3486,3736,3555,3594,4301,3684,-3559,-1089,-1159,-1800
2,salam,6,4061,3481,3732,3556,3591,4801,4056,-2481,-611,-1879,-3418
2,salam,7,4070,3466,3727,3560,3580,3143,3576,-1898,-322,-1430,-4197
2,salam,8,4037,3411,3709,3547,3589,889,2490,-2090,-573,-721,-4390
2,salam,9,4032,3399,3683,3532,3593,-844,1648,-1278,26,-528,-3932
2,salam,10,4039,3404,3691,3528,3592,-1436,1312,-1194,177,-268,-2803
2,salam,11,4029,3387,3695,3517,3619,-2119,-597,-1689,803,0,-2478
2,salam,12,4027,3385,3679,3503,3607,-2877,-1880,-878,664,-217,-905
2,salam,13,4019,3383,3693,3496,3599,-3037,-1031,-1792,-244,-36,132
2,salam,14,4019,3372,3727,3497,3595,-3465,-327,-1783,-303,-61,156
2,salam,15,4019,3373,3673,3496,3592,-3473,-914,-1746,442,1,-99
2,salam,16,4013,3369,3674,3503,3593,-3353,-946,-1711,70,77,11
2,salam,17,4012,3369,3673,3500,3593,-3278,-941,-1590,-110,112,110
2,salam,18,4025,3384,3671,3501,3595,-2905,-1107,-1635,159,69,365
2,salam,19,4045,3415,3673,3526,3595,-2261,-1509,-603,149,95,1294
3,salam,0,4085,3544,3784,3595,3623,3880,-54,-1393,16,83,-9
3,salam,1,4091,3565,3789,3589,3635,3637,-400,-1590,-1116,291,146
3,salam,2,4085,3549,3775,3577,3626,3863,149,-2109,-1470,-285,-214
3,salam,3,4089,3548,3787,3595,3620,3493,426,-1074,-613,-107,-161
3,salam,4,4083,3540,3786,3593,3612,3839,565,-1778,771,266,-261
3,salam,5,4075,3528,3775,3591,3611,4368,1108,-3032,448,-217,-1133
3,salam,6,4083,3532,3767,3587,3607,4812,2045,-3834,-650,-1367,-2122
3,salam,7,4079,3515,3769,3579,3603,4182,2736,-3089,-1400,-2095,-2984
3,salam,8,4061,3423,3737,3579,3599,2623,3326,-2299,-479,-1600,-3434
3,salam,9,4027,3379,3701,3555,3602,645,3341,-1605,-198,-818,-3552
3,salam,10,4027,3380,3699,3549,3595,-563,1963,-1333,338,-430,-3205
3,salam,11,4022,3373,3695,3545,3598,-1244,1887,-1293,136,13,-2659
3,salam,12,4022,3371,3691,3541,3603,-1767,677,-1710,1059,42,-2383
3,salam,13,4013,3369,3700,3499,3643,-2124,-940,-1457,1359,-670,-1462
3,salam,14,4015,3355,3685,3481,3631,-2711,-966,-2081,252,-328,-266
3,salam,15,3993,3357,3693,3479,3630,-3102,-276,-2372,-273,-177,77
3,salam,16,3991,3347,3707,3478,3627,-3061,-236,-2195,123,120,98
3,salam,17,3991,3343,3687,3478,3622,-3125,-446,-2168,-63,131,114
3,salam,18,3987,3340,3671,3478,3621,-3221,-361,-2188,-4,145,101
3,salam,19,3987,3345,3671,3476,3616,-3233,-467,-2001,-50,99,85
4,salam,0,4084,3525,3771,3579,3601,3711,301,-1103,478,-23,-80
4,salam,1,4079,3529,3771,3580,3592,3744,-19,-1577,80,19,21
4,salam,2,4077,3516,3767,3581,3590,3797,440,-1707,-1609,-66,-266
4,salam,3,4073,3511,3764,3588,3573,3769,246,-1538,-108,69,-21
4,salam,4,4069,3503,3764,3573,3567,4405,1494,-2862,-297,-538,-1054
4,salam,5,4069,3493,3757,3575,3580,4507,2301,-3094,-1274,-1524,-2189
4,salam,6,4053,3462,3739,3571,3576,3693,3342,-2532,-1158,-1976,-3097
4,salam,7,4051,3433,3720,3561,3575,2313,3688,-2105,-732,-985,-3642
4,salam,8,4041,3420,3709,3550,3576,815,2765,-1660,-408,-227,-3842
4,salam,9,4050,3422,3703,3551,3580,-521,2301,-1417,-253,149,-3172
4,salam,10,4039,3419,3695,3545,3589,-1366,1941,-1586,1,431,-2599
4,salam,11,4039,3419,3695,3547,3591,-1989,1211,-2131,464,34,-2354
4,salam,12,4037,3411,3695,3534,3596,-2434,712,-1620,791,-132,-1762
4,salam,13,4031,3420,3695,3531,3597,-2447,-782,-1880,1141,-473,-1059
4,salam,14,4026,3406,3695,3529,3620,-2802,-215,-2085,-233,309,37
4,salam,15,4025,3405,3691,3530,3597,-3209,-715,-2074,456,34,20
4,salam,16,4015,3400,3687,3517,3599,-3252,-383,-1968,117,124,76
4,salam,17,4023,3391,3688,3511,3591,-3381,-383,-1916,-43,51,106
4,salam,18,4015,3390,3685,3507,3596,-3342,-390,-1876,57,22,61
4,salam,19,4015,3391,3686,3511,3596,-3368,-408,-1814,-2,11,47
5,salam,0,4053,3448,3725,3545,3607,3614,640,-1589,-359,87,89
5,salam,1,4069,3471,3726,3547,3601,3670,704,-2034,-882,208,68
5,salam,2,4050,3449,3724,3547,3579,3634,797,-2098,-799,-154,-119
5,salam,3,4043,3445,3717,3547,3575,3523,656,-1596,536,14,-18
5,salam,4,4031,3439,3719,3545,3575,3824,1203,-3144,-874,-242,-627
5,salam,5,4040,3436,3719,3544,3573,4213,3279,-3610,-1950,-1038,-1749
5,salam,6,4043,3420,3707,3543,3579,2977,4538,-2649,-646,-1749,-2913
5,salam,7,4026,3375,3694,3543,3575,3061,4411,-2198,-121,-1149,-3897
5,salam,8,4021,3357,3687,3539,3572,1895,2574,-1375,237,-591,-3945
5,salam,9,4015,3359,3675,3538,3571,125,1972,-1454,-354,307,-3497
5,salam,10,4024,3379,3676,3539,3580,-1631,1144,-2138,-306,258,-3113
5,salam,11,4019,3373,3676,3525,3615,-2263,443,-1836,931,-20,-1972
5,salam,12,3991,3353,3669,3499,3656,-2391,-730,-1332,1256,-571,-1323
5,salam,13,3988,3337,3659,3487,3640,-2743,-891,-1750,653,-184,-420
5,salam,14,3979,3323,3657,3483,3637,-3127,-445,-2167,-91,-30,-51
5,salam,15,3977,3323,3655,3480,3630,-3264,-681,-1913,122,2,42
5,salam,16,3976,3317,3656,3476,3628,-3416,-492,-1873,113,108,-19
5,salam,17,3968,3315,3654,3477,3625,-3355,-691,-1784,-17,22,-28
5,salam,18,3976,3312,3655,3477,3623,-3439,-693,-1750,-7,37,20
