sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,salam,0,4095,3496,3687,3576,3621,3985,-151,-626,-716,-165,-83
1,salam,1,4095,3503,3708,3576,3626,3849,328,-1071,474,126,-72
1,salam,2,4095,3497,3689,3572,3625,3900,-796,-917,584,-106,-136
1,salam,3,4095,3487,3699,3571,3624,3840,-296,-438,-344,295,183
1,salam,4,4095,3491,3704,3589,3615,4137,360,-1063,216,99,-60
1,salam,5,4095,3485,3695,3576,3620,4045,234,-1083,-332,91,-52
1,salam,6,4095,3483,3683,3563,3608,4075,22,-705,-39,-94,43
1,salam,7,4095,3475,3678,3559,3607,3993,-17,-812,55,50,-6
1,salam,8,4095,3482,3703,3551,3621,4154,1333,-1762,-42,-56,-554
1,salam,9,4095,3485,3701,3560,3615,6585,3611,-2457,-166,-1431,-2793
1,salam,10,4095,3487,3703,3559,3628,7047,3792,-2874,-81,-1879,-5439
1,salam,11,4095,3487,3691,3549,3619,4299,2927,-1774,542,-1935,-6297
1,salam,12,4095,3487,3695,3551,3608,1155,538,-270,1121,-2487,-6015
1,salam,13,4095,3493,3723,3535,3603,-1483,-242,116,1140,-1363,-3935
1,salam,14,4095,3483,3820,3517,3623,-2090,-819,-921,-961,-779,-1459
1,salam,15,4095,3475,3705,3531,4095,-3140,-1381,-1053,-1002,-292,-448
1,salam,16,4095,3479,3683,3525,4095,-3653,-212,-1715,-614,-254,-48
1,salam,17,4095,3480,3691,3525,4095,-3756,-572,-1458,-333,55,-165
1,salam,18,4095,3475,3703,3512,4095,-3516,-660,-1538,127,-76,-168
1,salam,19,4095,3470,3701,3517,4095,-3521,-718,-1274,12,119,55
2,salam,0,4087,3492,3709,3544,3615,3727,-287,-1757,280,-201,-284
2,salam,1,4095,3507,3731,3544,3615,3261,-642,-2053,640,-51,-412
2,salam,2,4079,3492,3725,3529,3637,3450,-705,-1466,942,-376,-107
2,salam,3,4095,3492,3724,3539,3623,3764,-38,-1052,-384,483,233
2,salam,4,4054,3451,3704,3484,3635,3439,-850,-2060,550,113,178
2,salam,5,4095,3487,3703,3538,3612,4064,-127,-2088,154,141,-82
2,salam,6,4058,3478,3707,3525,3605,3904,-229,-1448,-104,-54,-170
2,salam,7,4066,3483,3700,3535,3605,3853,281,-2198,-43,-177,-834
2,salam,8,4095,3477,3720,3541,3610,5587,3126,-3233,-858,-265,-2983
2,salam,9,4095,3485,3733,3533,3604,5359,3951,-2686,308,-1787,-4349
2,salam,10,4095,3486,3736,3532,3611,3779,3977,-2586,861,-2467,-5291
2,salam,11,4095,3483,3707,3527,3601,1586,1111,-1169,472,-2709,-5416
2,salam,12,4095,3480,3706,3524,3620,-916,89,-792,-630,-1526,-3974
2,salam,13,4095,3471,3737,3512,3628,-2379,272,-1153,-976,-885,-2717
2,salam,14,4095,3451,3699,3513,3640,-3292,-1658,-619,-85,-148,-1418
2,salam,15,4095,3439,3663,3544,3597,-3525,-640,-787,-49,-45,-227
2,salam,16,4095,3439,3677,3539,3589,-3742,-436,-1496,-180,126,-3
2,salam,17,4095,3440,3669,3533,3591,-3757,-551,-1328,9,72,-41
2,salam,18,4095,3450,3707,3529,3603,-3685,-589,-1448,-113,-49,-29
2,salam,19,4095,3446,3705,3525,3592,-3639,-660,-1188,-30,-55,-34
3,salam,0,4095,3511,3741,3561,3639,3626,-1013,-2203,-724,200,44
3,salam,1,4095,3531,3739,3564,3613,2845,-1629,-2222,-611,147,81
3,salam,2,4095,3515,3753,3563,3656,3166,-1285,-2236,1283,-963,-393
3,salam,3,4095,3517,3757,3561,3652,3035,-1029,-1845,-400,298,-38
3,salam,4,4095,3513,3732,3568,3599,3229,-1016,-2398,182,57,-266
3,salam,5,4095,3499,3723,3563,3629,3062,-1125,-2341,329,-191,-355
3,salam,6,4095,3508,3708,3580,3637,3183,-911,-2408,-146,-402,-613
3,salam,7,4095,3504,3708,3575,3626,3717,-356,-3044,-62,-332,-921
3,salam,8,4095,3501,3743,3554,3627,3953,296,-3741,-433,-767,-1719
3,salam,9,4095,3498,3723,3541,3632,5019,3366,-5026,-1890,-518,-4789
3,salam,10,4095,3487,3731,3535,3609,3364,3314,-3595,-231,-3250,-5511
3,salam,11,4095,3455,3711,3527,3624,793,1630,-1763,-181,-2662,-5148
3,salam,12,4095,3477,3704,3527,3614,-1103,342,-1124,-231,-2126,-3876
3,salam,13,4095,3448,3691,3525,3601,-2069,-184,-962,-901,-1029,-2483
3,salam,14,4095,3433,3727,3514,4095,-2791,-1201,-705,-95,-406,-1244
3,salam,15,4095,3422,3687,3507,4095,-3223,-691,-1695,-216,-41,-545
3,salam,16,4095,3414,3684,3516,4095,-3295,-566,-1696,-297,-5,-400
3,salam,17,4095,3415,3675,3519,4095,-3423,-1017,-1616,-129,66,-154
3,salam,18,4095,3413,3682,3513,4095,-3450,-865,-1648,-187,-81,-86
3,salam,19,4095,3415,3659,3525,4095,-3387,-915,-1544,121,-72,-54
4,salam,0,4095,3499,3704,3539,3611,3910,-481,-1242,-331,-135,-70
4,salam,1,4095,3512,3721,3544,3607,3868,-20,-1412,93,177,-3
4,salam,2,4095,3501,3717,3535,3607,3896,-537,-1147,1393,-118,-146
4,salam,3,4095,3497,3708,3538,3605,3672,-385,-958,218,5,-173
4,salam,4,4095,3500,3705,3528,3603,3848,-430,-1216,1972,-512,-422
4,salam,5,4095,3496,3699,3533,3611,3982,-585,-1484,943,301,-171
4,salam,6,4095,3499,3702,3541,3602,3972,-406,-1870,1071,-139,-100
4,salam,7,4095,3495,3719,3523,3603,3823,-470,-1730,383,-328,-236
4,salam,8,4095,3493,3707,3539,3609,4904,466,-3831,-810,-1143,-1176
4,salam,9,4095,3502,3707,3547,3627,5774,2353,-4415,-1499,-2876,-3153
4,salam,10,4095,3487,3704,3542,3623,4240,2937,-3669,-1823,-2995,-4305
4,salam,11,4095,3481,3705,3529,3578,2152,2497,-1707,-1226,-2516,-5167
4,salam,12,4095,3464,3699,3509,3561,-102,1070,-843,-1295,-912,-4604
4,salam,13,4095,3443,3709,3518,3592,-1631,-80,-1496,213,-549,-3526
4,salam,14,4095,3437,3737,3507,3567,-2520,-1227,-983,39,-351,-2023
4,salam,15,4095,3429,3709,3526,3577,-3104,-1225,-1176,5,203,-365
4,salam,16,4095,3419,3644,3513,3564,-3618,-460,-1549,-19,53,36
4,salam,17,4095,3413,3675,3504,3571,-3738,-534,-1441,-212,-42,-96
4,salam,18,4095,3381,3684,3495,3558,-3794,-522,-1294,142,-30,-136
4,salam,19,4095,3387,3652,3503,3566,-3670,-672,-1410,51,-69,-137
5,salam,0,4095,3547,3749,3557,3612,3926,-229,-1659,-125,-78,20
5,salam,1,4095,3544,3755,3555,3603,3508,-607,-1568,-515,112,110
5,salam,2,4095,3540,3747,3563,3631,3742,-727,-1163,1007,-246,-57
5,salam,3,4095,3560,3747,3559,3619,3602,-503,-1318,-882,458,128
5,salam,4,4095,3545,3735,3553,3607,3806,-277,-1012,232,32,-225
5,salam,5,4095,3589,3726,3554,3599,4038,-323,-1351,-459,437,394
5,salam,6,4095,3543,3739,3551,3608,4187,-189,-1745,223,267,187
5,salam,7,4095,3520,3739,3553,3608,3916,-131,-1494,138,0,119
5,salam,8,4095,3535,3737,3559,3603,4084,36,-1572,12,-329,-106
5,salam,9,4095,3543,3751,3565,3597,4463,493,-2855,255,-805,-797
5,salam,10,4095,3531,3662,3545,3635,5990,2600,-4432,-1780,-2159,-2604
5,salam,11,4095,3503,3751,3543,3607,6092,4024,-3336,-1113,-2561,-4771
5,salam,12,4095,3483,3721,3534,3607,4008,2879,-2274,-932,-2147,-5655
5,salam,13,4095,3449,3708,3525,3609,643,218,-899,-119,-2022,-5025
5,salam,14,4095,3407,3693,3513,3589,-1429,-416,-820,-204,-1254,-3502
5,salam,15,4076,3367,3683,3497,3601,-2387,-771,-1541,-482,-472,-2147
5,salam,16,3983,3343,3676,3499,3589,-3553,-1358,-1365,171,-718,-974
5,salam,17,4095,3356,3631,3487,3591,-3316,-886,-907,176,57,-587
5,salam,18,4095,3359,3640,3484,3604,-3358,-1040,-1168,183,-226,-171
5,salam,19,4095,3359,3667,3479,3595,-3705,-1007,-1085,-528,-39,81
6,apni,0,4095,3660,3980,3604,3608,3754,-193,-1311,-235,28,35
6,apni,1,4095,3653,3967,3593,3627,3863,-105,-1340,-110,73,51
6,apni,2,4095,3660,3923,3579,3628,3908,-192,-1536,215,-43,32
6,apni,3,4095,3663,3897,3591,3620,3845,-176,-1022,-178,75,129
6,apni,4,4095,3657,3901,3573,3611,3680,-248,-1389,-111,154,28
6,apni,5,4095,3643,3881,3571,3605,3944,276,-1010,221,5,-194
6,apni,6,4095,3631,3901,3571,3605,4011,266,-1145,-390,182,-312
6,apni,7,4095,3657,3883,3588,3606,5444,1989,-1805,-1528,-36,-2129
6,apni,8,4095,3732,3961,3576,3610,5650,3639,-1873,-973,-1587,-4735
6,apni,9,4095,3772,4015,3563,3599,2065,3979,-1911,-649,-1085,-4408
6,apni,10,4095,3804,4095,3596,3612,-917,1406,-645,-276,-104,-3985
6,apni,11,4095,3832,4095,3631,3608,-2033,853,-1046,-1152,734,-1127
