sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1,salam,0,3958,3354,3718,3517,3558,4243,108,-345,-284,-101,18
1,salam,1,3981,3356,3711,3525,3561,4206,-81,-645,-319,139,-46
1,salam,2,3979,3374,3718,3508,3570,4229,-413,-1817,-1414,-408,-559
1,salam,3,3965,3351,3704,3501,3641,3806,-234,-751,410,-2133,-438
1,salam,4,3957,3300,3673,3465,3676,4382,959,-1711,-933,-1710,190
1,salam,5,3965,3259,3693,3443,3683,4548,1943,-3381,161,-2416,-723
1,salam,6,3935,3230,3703,3412,3689,4189,2976,-4367,1096,-3341,-2302
1,salam,7,3932,3211,3693,3389,3679,2534,1862,-3710,1145,-3886,-2982
1,salam,8,3929,3205,3724,3370,3682,751,986,-2286,852,-3407,-2922
1,salam,9,3923,3190,3667,3351,3689,-796,-425,-1466,972,-2404,-2798
1,salam,10,3916,3179,3606,3334,3694,-1392,-1475,-1514,1129,-1829,-2263
1,salam,11,3951,3171,3608,3320,3702,-1508,-2899,-1055,1122,-1659,-1752
1,salam,12,3929,3158,3624,3312,3707,-1421,-3203,-817,460,-1273,-1240
1,salam,13,3928,3154,3615,3303,3708,-1523,-3656,-269,484,-909,-949
1,salam,14,3919,3141,3565,3291,3720,-1308,-4028,358,211,-403,-467
1,salam,15,3901,3139,3557,3285,3719,-1428,-3964,-197,68,-162,-324
1,salam,16,3911,3133,3539,3273,3709,-1392,-3839,-189,-279,-192,-74
1,salam,17,3898,3135,3551,3271,3717,-1363,-4047,-255,-27,-138,-23
1,salam,18,3895,3131,3540,3264,3707,-1432,-3817,-127,53,-72,116
1,salam,19,3891,3125,3530,3261,3699,-1553,-3952,-50,195,-91,27
2,salam,0,3998,3315,3660,3485,3603,4176,150,-382,-163,-106,-8
2,salam,1,3998,3321,3667,3493,3597,4104,124,-790,-116,192,0
2,salam,2,4095,3327,3670,3485,3605,4098,-396,-420,-766,-140,-37
2,salam,3,4000,3339,3660,3480,3605,4397,201,-1577,-821,-74,-23
2,salam,4,3996,3321,3640,3483,3612,4473,276,-2394,119,-1570,139
2,salam,5,3994,3304,3668,3477,3636,5130,1491,-3168,380,-2516,-561
2,salam,6,3979,3275,3611,3462,3657,4518,1267,-3565,399,-3152,-1234
2,salam,7,3963,3246,3595,3429,3667,3460,1523,-3621,604,-3727,-1883
2,salam,8,3952,3235,3579,3411,3676,1504,782,-3059,280,-3573,-1841
2,salam,9,3940,3212,3565,3384,3685,-298,412,-2757,138,-3038,-1799
