sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2,salam,0,4031,3400,3772,3530,3743,3949,1417,-143,292,415,-142
2,salam,1,4053,3407,3803,3545,3737,3993,932,-592,210,236,-85
2,salam,2,4045,3388,3801,3541,3752,3998,1205,-530,-1384,-450,146
2,salam,3,4041,3391,3793,3547,3757,4517,1931,-917,195,-599,-230
2,salam,4,4037,3399,3800,3551,3748,4605,2428,-2217,270,-1203,-827
2,salam,5,4042,3405,3791,3564,3743,4993,4391,-2232,-1157,-1680,-2413
2,salam,6,4031,3403,3784,3557,3739,3935,4842,-1563,-433,-1789,-4122
2,salam,7,4031,3397,3795,3539,3731,1666,3282,-651,786,-1455,-4856
2,salam,8,4051,3390,3772,3532,3727,-408,1742,-454,1309,-1030,-4102
2,salam,9,4042,3371,3787,3500,3743,-1658,405,-789,1315,-415,-2923
2,salam,10,4027,3311,3751,3451,3758,-2257,-663,-1203,1226,-103,-2086
2,salam,11,4029,3282,3735,3411,3758,-2899,-1449,-1640,916,-230,-1164
2,salam,12,4031,3271,3717,3383,3773,-3193,-1404,-1622,388,25,-177
2,salam,13,4025,3272,3703,3391,3768,-3323,-1089,-1598,-22,37,-31
2,salam,14,4029,3254,3705,3381,3755,-3276,-1145,-1823,5,24,28
2,salam,15,4023,3262,3703,3385,3757,-3234,-1181,-1559,-81,91,33
2,salam,16,4029,3263,3710,3389,3756,-3359,-1077,-1628,-72,73,50
2,salam,17,4027,3269,3699,3387,3755,-3362,-1141,-1678,-32,37,25
2,salam,18,4029,3262,3705,3391,3755,-3366,-1151,-1596,-54,17,3
2,salam,19,4030,3262,3707,3389,3748,-3397,-1096,-1645,-65,-2,0
3,apni,0,4022,3445,4009,3557,3741,3693,1627,-753,16,283,-116
3,apni,1,4039,3467,3817,3559,3726,3804,1301,-882,22,109,-28
3,apni,2,4041,3468,3810,3558,3739,3853,1489,-709,-142,146,26
3,apni,3,4039,3453,3837,3561,3759,3981,1429,-666,-858,-558,212
3,apni,4,4039,3455,3796,3563,3767,4103,1717,-1578,-642,-712,-504
3,apni,5,4095,3703,3955,3541,3763,4704,4961,-2191,-1607,-1658,-3043
3,apni,6,4095,3751,3967,3452,3754,2554,6510,-1398,-2089,-1500,-4515
3,apni,7,4095,3787,4014,3429,3771,1587,4624,-374,-1064,-479,-6120
3,apni,8,4095,3810,3992,3400,3869,-1610,113,187,969,198,-4705
3,apni,9,4095,3805,3978,3327,3852,-4304,-2760,-635,-111,-34,-251
3,apni,10,4095,3790,3983,3309,3836,997,1216,-450,-1981,208,3577
3,apni,11,4095,3768,4011,3294,3831,1264,6585,-204,-646,-368,1084
3,apni,12,4095,3776,3985,3289,3819,-1617,3799,-38,-794,207,-22
3,apni,13,4095,3783,3981,3293,3815,-1660,3706,181,-288,13,-170
3,apni,14,4095,3781,3988,3294,3804,-1990,3271,-54,145,13,-2
3,apni,15,4095,3769,3980,3301,3811,-2016,3475,77,74,104,-42
3,apni,16,4095,3766,3983,3301,3800,-2215,3468,-75,-50,-54,-85
3,apni,17,4095,3759,3965,3307,3794,-1937,3407,-311,-28,25,6
3,apni,18,4095,3756,3963,3303,3804,-1958,3640,-294,-122,-126,-95
3,apni,19,4095,3751,3967,3305,3788,-2054,3551,-121,-150,-2,-160
4,kemon,0,4087,3592,4080,3693,3751,3823,1451,-578,-49,1084,-51
4,kemon,1,4091,3602,3948,3688,3769,3952,983,-1021,-491,300,-215
4,kemon,2,4095,3599,3913,3687,3768,3943,2112,-1176,-192,-2666,139
4,kemon,3,4079,3581,3897,3683,3751,4345,1849,-1624,-2434,-686,-1026
4,kemon,4,4083,3575,3892,3701,3757,4059,3890,-289,-4782,411,-2934
4,kemon,5,4084,3484,3811,3595,3751,1401,3258,3393,-4111,3766,-5501
4,kemon,6,4084,3443,3773,3527,3699,-209,1332,1325,1018,1893,-1927
4,kemon,7,4083,3421,3743,3513,3719,-1015,3223,2230,-364,1015,-1209
4,kemon,8,4077,3385,3719,3509,3704,-3431,5112,3051,-306,1899,-2377
