sample_id,label,timestep,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,person
1,salam,0,4046,3409,3721,3479,3581,4296,367,-442,210,-27,-32,Apurbo
1,salam,1,4095,3417,3733,3498,3611,3903,711,-229,-1360,148,-286,Apurbo
1,salam,2,4095,3414,3749,3502,3605,4200,38,-1073,2438,-488,173,Apurbo
1,salam,3,4095,3411,3725,3487,3609,4059,800,-560,1720,-611,-317,Apurbo
1,salam,4,4095,3413,3734,3499,3614,4583,1136,-1724,1967,-882,-1160,Apurbo
1,salam,5,4083,3400,3739,3491,3631,5186,1653,-3453,1678,-1886,-1991,Apurbo
1,salam,6,4060,3383,3740,3501,3643,5179,2693,-4394,1912,-3174,-2963,Apurbo
1,salam,7,4071,3383,3751,3547,3647,3496,1666,-3405,1876,-3563,-3651,Apurbo
1,salam,8,4088,3381,3743,3510,3644,1293,737,-2323,2572,-3035,-2885,Apurbo
1,salam,9,4056,3355,3751,3495,3655,58,-75,-1715,2436,-2306,-2122,Apurbo
1,salam,10,4095,3333,3739,3477,3641,-691,-1695,-954,2183,-1737,-1723,Apurbo
1,salam,11,4053,3321,3741,3471,3655,-915,-3094,-341,993,-987,-690,Apurbo
1,salam,12,4007,3323,3753,3475,3671,-1463,-3314,-602,694,-374,215,Apurbo
1,salam,13,3996,3327,3749,3481,3645,-2099,-3227,-1216,150,-366,226,Apurbo
1,salam,14,3995,3315,3771,3469,3636,-2359,-3251,-1244,12,-267,12,Apurbo
1,salam,15,3985,3307,3787,3471,3631,-2217,-3151,-990,-2,-42,109,Apurbo
1,salam,16,3986,3307,3725,3470,3637,-2287,-3093,-1227,5,4,124,Apurbo
1,salam,17,4004,3311,3709,3474,3655,-2360,-3014,-1288,18,75,84,Apurbo
1,salam,18,3995,3311,3727,3467,3636,-2378,-3014,-1275,6,53,72,Apurbo
1,salam,19,3991,3316,3736,3469,3631,-2362,-2960,-1169,16,24,39,Apurbo
2,salam,0,4000,3378,3710,3473,3609,4369,307,230,-493,-47,-27,Apurbo
2,salam,1,4071,3374,3725,3481,3605,4254,364,77,-625,619,-413,Apurbo
2,salam,2,4045,3399,3785,3492,3624,4595,699,-690,2729,-1148,319,Apurbo
2,salam,3,4055,3369,3730,3486,3645,5034,2085,-844,1186,-1181,-1472,Apurbo
2,salam,4,4024,3349,3733,3491,3645,5017,2684,-1754,2238,-1807,-2277,Apurbo
2,salam,5,4047,3355,3711,3493,3665,5407,4595,-2893,1384,-2330,-4120,Apurbo
2,salam,6,4026,3349,3737,3493,3667,3972,3519,-2403,1536,-2637,-5297,Apurbo
2,salam,7,4015,3340,3756,3484,3659,1815,1648,-1718,2470,-2162,-4527,Apurbo
2,salam,8,4024,3337,3749,3479,3662,-233,-287,-1442,2654,-1839,-3185,Apurbo
